"","movie_id","director_id","director_name"
"511",9387,8328,"John Milius"
"512",27380,67767,"Hal Needham"
"513",262,1032,"Martin Scorsese"
"514",88451,13265,"Franklin J. Schaffner"
"515",1371,16483,"Sylvester Stallone"
"516",97,12859,"Steven Lisberger"
"517",11307,9577,"George Roy Hill"
"518",47878,4964,"Hal Ashby"
"519",24226,39996,"Sidney Lumet"
"520",27609,11057,"Robert Towne"
"521",1368,16544,"Ted Kotcheff"
"522",11639,7908,"Frank Oz"
"523",11639,55983,"Jim Henson"
"524",45840,13563,"Norman Jewison"
"525",12614,1927,"Blake Edwards"
"526",2665,27746,"Ken Finkleman"
"527",1091,11770,"John Carpenter"
"528",33782,117075,"Henry Jaglom"
"529",33782,89467,"Bob Giraldi"
"530",41913,133259,"Arthur Hiller"
"531",25001,16897,"Sidney Poitier"
"532",9037,56755,"Patricia Birch"
"533",6217,1035,"Paul Schrader"
"534",154,1788,"Nicholas Meyer"
"535",150,1723,"Walter Hill"
"536",15764,6349,"Alan J. Pakula"
"537",609,10051,"Tobe Hooper"
"538",601,488,"Steven Spielberg"
"539",17590,39996,"Sidney Lumet"
"540",32048,6729,"Robert Benton"
"541",15600,27436,"Costa-Gavras"
"542",9442,1895,"Carl Reiner"
"543",24740,64508,"Sidney J. Furie"
"544",103210,21819,"Lewis Teague"
"545",14742,6159,"Ron Howard"
"546",14373,19244,"Michael Winner"
"547",37607,59649,"Michael Pressman"
"548",16281,14999,"George A. Romero"
"549",16441,58245,"Don Coscarelli"
"550",3526,13488,"Graeme Clifford"
"551",47955,26959,"Samuel Fuller"
"552",31044,24318,"Richard Benjamin"
"553",2623,18596,"Taylor Hackford"
"554",47947,1201,"Garry Marshall"
"555",9531,10586,"Richard Lester"
"556",1892,19800,"Richard Marquand"
"557",9549,648,"Philip Kaufman"
"558",849,12804,"Peter Yates"
"559",111,1150,"Brian De Palma"
"560",10650,190,"Clint Eastwood"
"561",10805,16483,"Sylvester Stallone"
"562",6341,12840,"John Badham"
"563",17692,8558,"Joe Alves"
"564",24808,25630,"Jack Clayton"
"565",69928,1927,"Blake Edwards"
"566",15050,12112,"Douglas Trumbull"
"567",107246,56381,"James Toback"
"568",1621,4610,"John Landis"
"569",11153,1524,"Harold Ramis"
"570",26978,1214133,"Lamont Johnson"
"571",110683,19244,"Michael Winner"
"572",32644,27846,"John Herzfeld"
"573",19258,67767,"Hal Needham"
"574",11030,1243,"Woody Allen"
"575",860,12840,"John Badham"
"576",10269,10400,"Barbra Streisand"
"577",47808,51875,"Andrew V. McLaglen"
"578",9967,16544,"Ted Kotcheff"
"579",36576,1927,"Blake Edwards"
"580",11591,1895,"Carl Reiner"
