"","movie_id","actor_id","actor_name","billing_order","character"
"249",36850,726,"Jack Weston",2,"Andy McPherson"
"250",36850,87027,"George Rose",3,"Harold"
"251",36850,41220,"James Coco",4,"Uncle Harry"
"252",36850,45863,"Doris Roberts",5,"Mrs. Traggert"
"253",30941,738,"Sean Connery",0,"Duke Anderson"
"254",30941,40403,"Dyan Cannon",1,"Ingrid"
"255",30941,1936,"Martin Balsam",2,"Haskins"
"256",30941,14562,"Ralph Meeker",3,"Police Captain 'Iron Balls' Delaney"
"257",30941,7169,"Alan King",4,"Pat Angelo"
"258",30941,4690,"Christopher Walken",5,"The Kid"
"259",252,3460,"Gene Wilder",0,"Willy Wonka"
"260",252,3462,"Peter Ostrum",1,"Charlie Bucket"
"261",252,3461,"Jack Albertson",2,"Grandpa Joe"
"262",252,1672153,"Michael Bollner",3,"Augustus Gloop"
"263",252,3464,"Julie Dawn Cole",4,"Veruca Salt"
"264",252,3468,"Denise Nickerson",5,"Violet Beauregarde"
"265",466,6352,"Jane Fonda",0,"Bree Daniels"
"266",466,55636,"Donald Sutherland",1,"John Klute"
"267",466,6354,"Charles Cioffi",2,"Peter Cable"
"268",466,6355,"Roy Scheider",3,"Frank Ligourin"
"269",466,6360,"Dorothy Tristan",4,"Arlyn Page"
"270",466,120391,"Rita Gam",5,"Trina"
"271",1687,7505,"Roddy McDowall",0,"Cornelius"
"272",1687,10539,"Kim Hunter",1,"Dr. Zira"
"273",1687,18647,"Bradford Dillman",2,"Dr. Lewis Dixon"
"274",1687,18648,"Natalie Trundy",3,"Dr. Stephanie 'Stevie' Branton"
"275",1687,8544,"Eric Braeden",4,"Dr. Otto Hasslein"
"276",1687,8499,"William Windom",5,"The President"
"277",11316,8223,"Jon Finch",0,"Macbeth"
"278",11316,12513,"Francesca Annis",1,"Lady Macbeth"
"279",11316,68985,"Martin Shaw",2,"Banquo"
"280",11316,11843,"John Stride",3,"Ross"
"281",11316,184892,"Nicholas Selby",4,"Duncan"
"282",11316,10732,"Terence Bayler",5,"Macduff"
"283",185,56890,"Malcolm McDowell",0,"Alex"
"284",185,2264,"Patrick Magee",1,"Mr. Alexander"
"285",185,2272,"Carl Duering",2,"Dr. Brodsky"
"286",185,2267,"Michael Bates",3,"Chief Guard"
"287",185,2268,"Warren Clarke",4,"Dim"
"288",185,2270,"James Marcus",5,"Georgie"
"289",994,4483,"Dustin Hoffman",0,"David Sumner"
"290",994,14947,"Susan George",1,"Amy"
"291",994,386,"Peter Vaughan",2,"Tom Hedden"
"292",994,14948,"T. P. McKenna",3,"Maj. John Scott"
"293",994,14949,"Del Henney",4,"Charlie Venner"
"294",994,14950,"Jim Norton",5,"Chris Cawsey"
"295",11302,1243,"Woody Allen",0,"Fielding Mellish"
"296",11302,9565,"Louise Lasser",1,"Nancy"
"297",11302,68934,"Carlos Montalbán",2,"General Emilio M. Vargas"
"298",11302,68935,"Nati Abascal",3,"Yolanda"
"299",11302,941548,"Jacobo Morales",4,"Esposito"
"300",11302,87743,"Miguel Ángel Suárez",5,"Luis"
"301",1051,193,"Gene Hackman",0,"Jimmy Doyle"
"302",1051,6355,"Roy Scheider",1,"Buddy Russo"
"303",1051,14821,"Fernando Rey",2,"Alain Charnier"
"304",1051,15183,"Tony Lo Bianco",3,"Sal Boca"
"305",1051,15184,"Marcel Bozzuffi",4,"Pierre Nicoli"
"306",1051,15185,"Frédéric de Pasquale",5,"Devereaux"
"307",27554,1158,"Al Pacino",0,"Bobby"
"308",27554,57921,"Kitty Winn",1,"Helen"
"309",27554,33059,"Alan Vint",2,"Hotch"
"310",27554,3174,"Richard Bright",3,"Hank"
"311",27554,98203,"Kiel Martin",4,"Chico"
"312",27554,44552,"Michael McClanathan",5,"Sonny"
"313",11951,27860,"Barry Newman",0,"Kowalski"
"314",11951,68091,"Cleavon Little",1,"Super Soul"
"315",11951,29313,"Dean Jagger",2,"Prospector"
"316",11951,71019,"Victoria Medlin",3,"Vera Thornton"
"317",11951,102818,"Gilda Texter",4,"Nude Rider"
"318",11951,1481,"Lee Weaver",5,"Jake"
"319",25188,19207,"Timothy Bottoms",0,"Sonny Crawford"
"320",25188,1036,"Cybill Shepherd",1,"Jacy Farrow"
"321",25188,1229,"Jeff Bridges",2,"Duane Jackson"
"322",25188,9599,"Cloris Leachman",3,"Ruth Popper"
"323",25188,9560,"Ellen Burstyn",4,"Lois Farrow"
"324",25188,8258,"Ben Johnson",5,"Sam the Lion"
"325",482,6487,"Richard Roundtree",0,"John Shaft"
"326",482,6561,"Moses Gunn",1,"Bumpy Jonas"
"327",482,6354,"Charles Cioffi",2,"Vic Androzzi"
"328",482,6562,"Christopher St. John",3,"Ben Buford"
"329",482,6563,"Gwenn Mitchell",4,"Ellie Moore"
"330",482,6564,"Lawrence Pressman",5,"Sergeant Tom Hannon"
"331",71945,56930,"David Selby",0,"Charles Collins / Quentin Collins"
"332",71945,105747,"Kate Jackson",1,"Tracy Collins"
"333",71945,236465,"Grayson Hall",2,"Carlotta Drake"
"334",71945,117627,"Lara Parker",3,"Angelique Collins"
"335",71945,30048,"John Karlen",4,"Alex Jenkins"
"336",71945,1217687,"Nancy Barrett",5,"Claire Jenkins"
"337",636,3087,"Robert Duvall",0,"THX"
"338",636,9221,"Donald Pleasence",1,"SEN"
"339",636,9222,"Don Pedro Colley",2,"SRT"
"340",636,9223,"Maggie McOmie",3,"LUH"
