"","movie_id","top_genre"
"572",1323217,NA
"573",1320529,"Animation"
"574",1320099,NA
"575",1317055,"Horror"
"576",1316744,"Comedy"
"577",1316181,"Horror"
"578",1313625,"Music"
"579",1312094,"Documentary"
"580",1311997,"Animation"
"581",1311787,"Documentary"
"582",1310932,"Documentary"
"583",1310713,"Family"
"584",1310705,"Adventure"
"585",1310686,"Family"
"586",1310681,"Family"
"587",1309326,"Animation"
"588",1306978,"Documentary"
"589",1306413,NA
"590",1305206,"Animation"
"591",1305203,"Animation"
"592",1305164,NA
"593",1304577,"Animation"
"594",1303198,"Drama"
"595",1299663,"Documentary"
"596",1299468,"TV Movie"
"597",1297844,"Documentary"
"598",1294119,NA
"599",1294117,NA
"600",1294116,NA
"601",9552,"Horror"
"602",9277,"Comedy"
"603",838,"Comedy"
"604",5924,"Crime"
"605",10236,"Drama"
"606",25473,"Action"
"607",10648,"Drama"
"608",11886,"Animation"
"609",11293,"Comedy"
"610",9040,"Crime"
"611",12545,"Drama"
"612",9461,"Action"
"613",11561,"Comedy"
"614",4909,"Action"
"615",11901,"Western"
"616",89545,"Drama"
"617",17897,"Action"
"618",11577,"Western"
"619",14886,"Drama"
"620",2362,"Adventure"
"621",1705,"Action"
"622",15171,"Family"
"623",31587,"Drama"
"624",22021,"Action"
"625",97519,"Adventure"
"626",12101,"Science Fiction"
"627",92299,"Romance"
"628",38714,"Drama"
"629",203,"Drama"
"630",26331,"Crime"
"631",28110,"Action"
"632",29735,"Crime"
"633",67696,"Drama"
"634",56150,"Drama"
"635",30593,"Animation"
"636",494,"Action"
"637",85970,"Comedy"
"638",31605,"Drama"
"639",28797,"Action"
"640",22307,"Thriller"
"641",1847,"Mystery"
"642",40374,"Drama"
"643",29425,"Science Fiction"
"644",115621,"Adventure"
"645",103314,"Drama"
"646",1471128,NA
"647",1611534,NA
"648",1610638,NA
"649",1610636,NA
"650",1602741,NA
"651",1601157,NA
"652",1594627,"Horror"
"653",1593917,NA
"654",1591910,"Western"
"655",1591147,"Animation"
"656",1590686,NA
"657",1589068,NA
"658",1589006,NA
